70;395;2,2,3,4-TETRAMETHYLPENTANE;128.259;0;406.2;592.7;2604.0525;0;0;0.311;0;0;0;0;0;-237095.04;32650.8;34283.34;395
71;316;2,2,3-TRIMETHYLBUTANE;100.205;248.3;354;531.1;2958.69;398;0.267;0.251;0.69;293;0;0;0;-204904.7;4269.72;28962.934;316
72;390;2,2,3-TRIMETHYLHEXANE;128.259;0;406.8;588;2492.595;0;0;0.332;0;0;0;0;0;-241322.9;24529.96;34785.66;390
73;366;2,2,4 TRIMETHYLPENTANE;114.232;165.8;372.4;543.9;2563.5225;468;0.266;0.303;0.692;293;0;467.04;246.43;-22424402;13688.22;31022.446;366
74;396;2,2,4,4-TETRAMETHYLPENTANE;128.259;206;395.4;574.7;2482.4625;0;0;0.315;0.719;293;0;0;0;-242076.38;34032.18;32860.1;396
75;391;2,2,4-TRIMETHYLHEXANE;128.259;153;399.7;573.7;2371.005;0;0;0.321;0.72;289;0;0;0;-243332.18;22520.68;34032.18;391
76;421;2,2,5,5-TETRAMETHYLHEPTANE;142.286;0;410.6;581.5;2188.62;0;0;0.374;0;0;0;0;0;0;0;35287.98;421
77;392;2,2,5-TRIMETHYLHEXANE;128.259;167.4;397.3;568;2330.475;519;0.26;0.357;0.717;289;0;0;0;-254132.06;13437.06;33781.02;392
78;225;2,2-DIMETHYL PROPANE;72.151;256.6;282.6;433.8;3201.87;303;0.269;0.197;0.591;293;0;355.54;196.35;-166058.62;-15237.04;22763.468;225
79;230;2,2-DIMETHYL-1-PROPANOL;88.15;327;386.3;549;3951.675;319;0.28;0;0.783;327;0;0;0;-293020;-125496.28;43115.8;230
80;358;2,2-DIMETHYLHEXANE;114.232;152;382;549.8;2533.125;478;0.264;0.338;0.695;293;0;0;0;-224830.06;10716.16;32274.06;358
81;311;2,2-DIMETHYLPENTANE;100.205;149.4;352.4;520.4;2776.305;416;0.267;0.289;0.674;293;0;417.37;226.19;-206244.22;83.72;29176.42;311
